timestamp,sleep_log_entry_id,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2019-11-07T06:44:30Z,24544498988,77,21,20,36,105,67,0.10520939734422881
2019-11-08T06:51:00Z,24557100954,79,22,20,37,91,66,0.10990206746463548
2019-11-09T09:00:30Z,24569260396,83,24,19,40,139,65,0.10379981464318813
2019-11-10T10:02:00Z,24580044770,84,22,18,44,108,66,0.10835401157981803
2019-11-11T06:49:00Z,24590721419,79,17,22,40,97,66,0.07783251231527094
2019-11-12T06:46:00Z,24604581722,81,21,19,41,116,64,0.08826479438314945
2019-11-13T06:50:30Z,24619308629,76,19,19,38,102,64,0.09862142099681867
2019-11-14T06:42:30Z,24628997447,77,20,18,39,61,65,0.1104594330400782
2019-11-15T06:49:30Z,24642844365,78,19,19,40,109,65,0.10665451230628988
2019-11-17T10:00:30Z,24665677269,69,20,13,36,81,64,0.06002554278416347
2019-11-18T06:45:00Z,24676854526,86,22,23,41,123,67,0.08551307847082495
2019-11-19T06:43:30Z,24698674030,77,20,21,36,92,65,0.09634888438133875
2019-11-20T06:44:30Z,24703209588,76,21,17,38,76,63,0.11380400421496312
2019-11-21T06:46:30Z,24719952653,80,22,17,41,93,63,0.0964824120603015
2019-11-22T06:49:00Z,24740600162,71,21,14,36,82,64,0.11122994652406418
2019-11-23T09:25:30Z,24750341846,79,19,16,44,112,66,0.12070484581497798
2019-11-24T11:49:30Z,24763238715,64,16,13,35,49,67,0.11400651465798045
2019-11-25T06:29:30Z,24771196805,85,21,22,42,81,69,0.10939012584704744
2019-11-26T06:46:30Z,24785904019,83,23,21,39,114,67,0.09126594700686948
2019-11-27T07:09:30Z,24797096980,83,22,19,42,99,65,0.11534391534391535
2019-11-28T06:50:30Z,24806891340,72,19,19,34,83,65,0.10355329949238579
2019-11-29T06:43:30Z,24817530410,75,21,19,35,75,65,0.09269356597600872
2019-11-30T09:50:00Z,24829077079,85,23,17,45,124,66,0.09141940657578188
2019-12-01T09:57:30Z,24840179252,75,23,13,39,116,67,0.06989853438556934
