timestamp,sleep_log_entry_id,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2019-11-07T06:09:30Z,24550716102,75,21,15,39,40,45,0.1521472392638037
2019-11-08T07:29:00Z,24554805106,72,22,18,32,72,46,0.2016895459345301
2019-11-09T05:49:00Z,24575663643,67,21,17,29,35,46,0.0755336617405583
2019-11-10T08:53:00Z,24586073757,80,22,19,39,76,48,0.2017167381974249
2019-11-11T06:32:30Z,24590204015,79,22,19,38,67,47,0.13780918727915195
2019-11-12T03:43:30Z,24614327984,59,14,17,28,4,46,0.15368852459016394
2019-11-13T06:39:00Z,24636780923,67,17,19,31,28,46,0.1695501730103806
2019-11-14T06:30:30Z,24636780924,69,20,12,37,57,46,0.16037735849056603
2019-11-15T06:09:30Z,24659721258,69,18,18,33,50,47,0.09612983770287141
2019-11-16T09:49:30Z,24659721260,60,21,9,30,57,47,0.20777891504605936
2019-11-17T08:41:30Z,24683395962,69,21,14,34,39,50,0.07152682255845942
2019-11-18T06:06:30Z,24683395963,79,22,22,35,75,49,0.08839050131926121
2019-11-19T06:27:00Z,24698821500,80,21,19,40,36,48,0.13641755634638197
2019-11-20T05:42:30Z,24707845505,65,16,17,32,62,47,0.1610738255033557
2019-11-21T06:45:00Z,24745400642,58,13,17,28,27,47,0.1820388349514563
2019-11-22T06:52:30Z,24745400643,74,21,17,36,38,47,0.18223760092272204
2019-11-23T08:54:30Z,24754368469,79,21,16,42,55,48,0.16977428851815504
2019-11-24T09:39:00Z,24781797201,58,19,13,26,20,48,0.06878306878306878
2019-11-25T06:39:30Z,24781797203,82,20,21,41,58,47,0.12486064659977704
2019-11-26T06:33:00Z,24792764705,74,20,20,34,46,45,0.09744214372716199
2019-11-27T06:26:30Z,24814910760,74,19,19,36,63,45,0.1395076201641266
2019-11-28T06:32:00Z,24814910761,76,21,18,37,51,45,0.17462165308498254
2019-11-29T06:48:00Z,24829495799,82,22,20,40,86,45,0.12018140589569161
2019-12-01T10:02:30Z,24838154739,58,18,12,28,43,45,0.18253189401373895
2019-12-02T06:39:30Z,24857203229,81,22,22,37,87,47,0.11045828437132785
2019-12-03T06:41:00Z,24862298733,75,21,18,36,73,46,0.20885357548240635
2019-12-04T06:44:00Z,24895824299,79,21,21,37,54,45,0.13544018058690746
2019-12-05T06:42:30Z,24896643098,70,17,17,36,63,44,0.20204313280363223
2019-12-06T03:03:00Z,24914622967,58,14,15,29,10,44,0.09153318077803203
2019-12-07T07:05:30Z,24923252420,71,22,13,36,74,45,0.1652989449003517
2019-12-08T09:13:30Z,24935403285,68,20,15,33,43,46,0.1097708082026538
2019-12-09T03:41:00Z,24959885733,64,21,16,27,49,47,0.09694793536804308
2019-12-10T07:31:30Z,24959885735,71,20,20,31,50,47,0.1081441922563418
2019-12-11T06:24:30Z,24972773659,77,21,21,35,37,46,0.14512195121951219
2019-12-12T06:40:00Z,24977862184,66,16,18,32,69,45,0.171021377672209
2019-12-13T06:46:30Z,24999289340,69,18,19,32,63,45,0.20159453302961275
2019-12-14T10:22:00Z,25009042355,58,18,9,31,25,44,0.1702127659574468
2019-12-15T08:18:30Z,25013611278,79,23,14,42,101,46,0.11079274116523401
2019-12-16T06:43:00Z,25033382891,74,22,14,38,62,47,0.19396051103368175
2019-12-17T06:53:30Z,25036633149,77,22,16,39,65,47,0.18333333333333332
2019-12-18T06:53:30Z,25060150828,71,20,18,33,61,46,0.19036954087346025
2019-12-19T06:57:00Z,25067580603,63,19,9,35,18,45,0.17683686176836863
2019-12-20T06:57:00Z,25086862747,75,22,15,38,72,46,0.09325153374233129
2019-12-21T08:07:30Z,25101486533,72,22,11,39,76,46,0.17861205915813425
2019-12-22T08:42:00Z,25104998807,74,18,14,42,51,47,0.16752312435765673
2019-12-23T04:24:00Z,25114886084,70,18,17,35,24,47,0.06607929515418502
2019-12-24T08:34:30Z,25132043903,74,22,17,35,64,46,0.2193419740777667
2019-12-25T09:58:30Z,25164862609,65,21,9,35,31,44,0.20279720279720279
2019-12-26T08:36:00Z,25164862610,78,21,10,47,61,45,0.15739868049010367
2019-12-27T10:35:00Z,25164862611,72,18,12,42,74,45,0.11659663865546219
